ImageId,Feature_LBP_1,Feature_LBP_2,Feature_LBP_3,Feature_LBP_4,Feature_LBP_5,Feature_LBP_6,Feature_LBP_7,Feature_LBP_8,Feature_LBP_9,Feature_LBP_10,Classe
Foto_13,-1.003051418204552,-0.6734827293360937,-1.1967530751000344,-0.10016129420139767,-0.3669690698234558,1.697638366720204,-0.2588863039972381,-0.03276966993053805,2.0021815109032848,-0.06774631703018001,Freeflowing
Foto_14,-0.37873675289005065,-0.017442976319175803,-1.6515836593937436,-0.8149862911537683,-0.7097329902719961,0.5762486875563774,-0.4825890114971902,0.323360556985198,1.1823746016192946,1.9730878353650532,Freeflowing
Foto_15,-0.9003312247872851,-0.6711320448167821,-0.8914396015620829,0.010708328977689655,-0.43528013955548017,1.5386602164394358,-0.2922465458033046,-0.1504923222993597,2.251205476191441,-0.4596521427842722,Freeflowing
Foto_16,-0.9502575867765407,-0.5803325513744881,-1.06784498798928,-0.2671768825758912,-0.439421301867306,1.457819731472367,-0.24455715045637466,-0.14571684240105595,2.2689615649877886,-0.031473993019218015,Freeflowing
Foto_17,-0.6677066795383358,-0.5515358439655272,-0.6994545968170207,-0.28698688053236965,-0.46849105069797037,1.0198329363264256,-0.371307715491192,-0.2940816723358057,2.660516301287919,-0.34078479823612196,Freeflowing
Foto_18,-0.6925833860609206,-0.47751926438558784,-1.1385875228502516,-0.500692152324012,-0.5977224575640521,1.1320596710139808,-0.42269319760361385,-0.056364352108950015,2.409526748640729,0.3445759132426794,Freeflowing
Foto_19,-0.8037919971173239,-0.5970439520087731,-0.9072353982102263,-0.2700628994595787,-0.46661229938995596,1.3317488003612998,-0.3128000792538295,-0.21053611331758665,2.4348675645310838,-0.1985336261351104,Freeflowing
Foto_20,-0.7888504859865745,-0.5749777024889524,-0.8724352570442205,-0.27103915449436233,-0.5002124276580124,1.3027732214151932,-0.32288710200893744,-0.21504871632784958,2.462937861419164,-0.22026023682544865,Freeflowing
Foto_21,-0.7629695963452798,-0.5605303748037572,-0.9409777941211156,-0.3344118533047226,-0.485959373032799,1.2259412553240878,-0.3737270084722742,-0.1858712288093461,2.487634494964978,-0.06912852139977145,Freeflowing
Foto_22,-0.666290379255189,-0.5414032126543674,-1.0361818831110947,-0.4462634753202692,-0.617983329396399,1.260787983154711,-0.40914423413613626,-0.1409837347404831,2.407321554309476,0.19014071114975084,Freeflowing
Foto_23,-0.9362620924958134,-0.5701902384873087,-1.2063554436046093,-0.31752888042653676,-0.4472434169309508,1.5325182876466965,-0.26051600904594047,-0.11490759652715143,2.1400745159381227,0.18041087393349103,Freeflowing
Foto_24,-0.7005792784506758,-0.5694433498014047,-0.7126770655623447,-0.2435687805149327,-0.4780718775233995,1.1561502928566758,-0.35607309610192894,-0.28910138010821795,2.5860883112498367,-0.39272377604360925,Freeflowing
Foto_25,-1.106026223236205,-0.7003199030437025,-1.068566253871268,0.024621266208143748,-0.25789621199790247,1.8123034165621725,-0.1743951349113023,-0.11209937087930337,1.9087587121295988,-0.3263802969602326,Freeflowing
Foto_26,-1.0736694285774757,-0.5862385527936282,-1.4217072723657858,-0.23731123660425274,-0.32295472207826553,1.7307099844959106,-0.2637412736644822,0.051513158770273945,1.7687031627699905,0.35469618004771414,Freeflowing
Foto_27,-0.7583603255945026,-0.565417479118603,-0.9336609745623385,-0.33023801572721195,-0.528488472470368,1.312878514896683,-0.3594672497342158,-0.20158453305188334,2.4384656669259814,-0.07412713156354216,Freeflowing
Foto_28,-0.6414972118359946,-0.4778194583267176,-1.5772257387474793,-0.5030811390053185,-0.5461306303392653,1.1771943196227959,-0.5190752208550832,0.1462486886150472,1.869872593378039,1.0715137974939748,Freeflowing
Foto_29,-0.8388605740607414,-0.6019213361514845,-0.8157297821156007,-0.20330876187174057,-0.4265027385989373,1.3202353641274451,-0.27215617140479065,-0.25653380407011434,2.4560056900829608,-0.36122788593699534,Freeflowing
Foto_30,-1.1593835487214288,-0.5660214390107525,-1.4935175771383062,-0.20714169591928633,-0.25756944960750205,1.766228728914259,-0.17330025909403812,0.029614601237588647,1.6309967422331286,0.4300938971063364,Freeflowing
Foto_31,-0.666763964826198,-0.5515928261094978,-0.7457400412071358,-0.30940690442555724,-0.48296610241477966,1.0614672455084482,-0.3784210370443584,-0.2814581177595632,2.634181444889742,-0.2792996966111002,Freeflowing
Foto_32,-1.0859354888160953,-0.6685310539287721,-1.1780798451749261,-0.09733103868583322,-0.26832056594964326,1.7661698259442566,-0.19982976086230606,-0.09125141104978665,1.930129783753888,-0.10702044523078258,Freeflowing
Foto_33,-0.9541710882306593,-0.5658289602041545,-1.4544371483521392,-0.33050171836343734,-0.41411854875140824,1.5968596997056286,-0.31393488925380814,0.04388253001952169,1.8524062999084914,0.5398438235219641,Freeflowing
Foto_34,-0.6526859402910529,-0.5499020964877018,-0.757119331117258,-0.32988665219807145,-0.5393791241005297,1.1359349608690883,-0.3770978256107894,-0.2827892406489986,2.593850124412914,-0.24092487482760042,Freeflowing
Foto_35,-0.8798065623348783,-0.5450839994523696,-1.1110066830887761,-0.3433110914146604,-0.4567065071907221,1.3098847969114076,-0.3095704436097796,-0.12418858890910049,2.3514355896609325,0.10835348942794605,Freeflowing
Foto_36,-0.7031023568474646,-0.5359214171053522,-0.8295531139728693,-0.3374989426778413,-0.5082300568160216,1.1231073524899264,-0.37519533990154535,-0.22854086303124446,2.58235812652465,-0.18742338866223843,Freeflowing
